field,alias,table,comment,formula,fullname,matchCount,matches
bill_receivable,应收票据,balance,应收票据是指企业持有的还没有到期、尚未兑现的票据。应收票据是企业未来收取货款的权利，这种权利和将来应收取的货款金额以书面文件形式约定下来，因此它受到法律的保护，具有法律上的约束力。是一种债权凭证。根据我国现行法律的规定，商业汇票的期限不得超过6个月，因而我国的商业汇票是一种流动资产。在我国应收票据、应付票据通常是指“商业汇票”，包括“银行承兑汇票”和“商业承兑汇票”两种，是远期票据，付款期一般在1个月以上，6个月以内。其他的银行票据(支票、本票、汇票}等，都是作为货币资金来核算的，而不作为应收应付票据,,应收票据(元),1,应收票据(万元) balance
biological_assets,生产性生物资产,balance,生产性生物资产是指为产出农产品、提供劳务或出租等目的而持有的生物资产，包括经济林、薪炭林、产畜和役畜等。,,生产性生物资产(元),1,生产性生物资产(万元) balance
bonds_payable,应付债券,balance,应付债券是指企业为筹集资金而对外发行的期限在一年以上的长期借款性质的书面证明，约定在一定期限内还本付息的一种书面承诺。,,应付债券(元),1,应付债券(万元) balance
borrowing_capital,拆入资金,balance,拆入资金，是指信托投资公司向银行或其他金融机构借入的资金。拆入资金应按实际借入的金额入账。,,拆入资金(元),1,拆入资金(万元) balance
borrowing_from_centralbank,向中央银行借款,balance,向中央银行借款的形式有两种，一种是直接借款，也称再贷款;另一种为间接借款，即所谓的再贴现。,,向中央银行借款(元),1,向中央银行借款(万元) balance
bought_sellback_assets,买入返售金融资产,balance,指公司按返售协议约定先买入再按固定价格返售的证券等金融资产所融出的资金。,,买入返售金融资产(元),1,买入返售金融资产(万元) balance
capital_reserve_fund,资本公积,balance,资本公积金是在公司的生产经营之外，由资本、资产本身及其他原因形成的股东权益收入。股份公司的资本公积金，主要来源于的股票发行的溢价收入、接受的赠与、资产增值、因合并而接受其他公司资产净额等。其中，股票发行溢价是上市公司最常见、是最主要的资本公积金来源。,,资本公积金(元),1,资本公积(万元) balance
cash_dividend_distribution,拟分配现金股利,balance,,,拟分配现金股利(万元),1,拟分配现金股利(万元) balance
cash_equivalents,货币资金,balance,货币资金是指在企业生产经营过程中处于货币形态的那部分资金，按其形态和用途不同可分为包括库存现金、银行存款和其他货币资金。它是企业中最活跃的资金，流动性强，是企业的重要支付手段和流通手段，因而是流动资产的审查重点。货币资金：又称为货币资产，是指在企业生产经营过程中处于货币形态的资产。是指可以立即投入流通，用以购买商品或劳务或用以偿还债务的交换媒介物。,,货币资金(元),1,货币资金(万元) balance
commission_payable,应付手续费及佣金,balance,是会计科目的一种，用以核算企业因购买材料、商品和接受劳务供应等经营活动应支付的款项。通常是指因购买材料、商品或接受劳务供应等而发生的债务，这是买卖双方在购销活动中由于取得物资与支付贷款在时间上不一致而产生的负债。,,应付手续费及佣金(元),1,应付手续费及佣金(万元) balance
constru_in_process,在建工程,balance,在建工程是指企业固定资产的新建、改建、扩建，或技术改造、设备更新和大修理工程等尚未完工的工程支出。在建工程通常有”自营”和”出包”两种方式。自营在建工程指企业自行购买工程用料、自行施工并进行管理的工程；出包在建工程是指企业通过签订合同，由其它工程队或单位承包建造的工程。,,在建工程(元),1,在建工程(万元) balance
construction_materials,工程物资,balance,工程物资是指用于固定资产建造的建筑材料（如钢材、水泥、玻璃等），企业（民用航空运输）的高价周转件（例如飞机的引擎）等。买回来要再次加工建设的资产。在资产负债表中列示为非流动资产。,,工程物资(元),1,工程物资(万元) balance
current_loss_suspenses,待处理流动资产损益,balance,,,待处理流动资产损益(万元),1,待处理流动资产损益(万元) balance
deferred_income,递延收益,balance,,,递延收益(万元),1,递延收益(万元) balance
deferred_tax_assets,递延所得税资产,balance,指对于可抵扣暂时性差异，以未来期间很可能取得用来抵扣可抵扣暂时性差异的应纳税所得额为限确认的一项资产。而对于所有应纳税暂时性差异均应确认为一项递延所得税负债，但某些特殊情况除外。递延所得税资产和递延所得税负债是和暂时性差异相对应的，可抵减暂时性差异是将来可用来抵税的部分，是应该收回的资产，所以对应递延所得税资产递延所得税负债是由应纳税暂时性差异产生的，对于影响利润的暂时性差异，确认的递延所得税负债应该调整“所得税费用”。例如会计折旧小于税法折旧，导致资产的账面价值大于计税基础，如果产品已经对外销售了，就会影响利润，所以递延所得税负债应该调整当期的所得税费用。如果暂时性差异不影响利润，而是直接计入所有者权益的，则确认的递延所得税负债应该调整资本公积。例如可供出售金融资产是按照公允价值来计量的，公允价值产升高了，会计上调增了可供出售金融资产的账面价值，并确认的资本公积，因为不影响利润，所以确认的递延所得税负债不能调整所得税费用，而应该调整资本公积。,,递延所得税资产(元),1,递延得税资产(万元) balance
deferred_tax_liability,递延所得税负债,balance,递延所得税负债是指根据应纳税暂时性差异计算的未来期间应付所得税的金额；递延所得税资产和递延所得税负债是和暂时性差异相对应的，可抵减暂时性差异是将来可用来抵税的部分，是应该收回的资产，所以对应递延所得税资产；递延所得税负债是由应纳税暂时性差异产生的，对于影响利润的暂时性差异，确认的递延所得税负债应该调整“所得税费用”。,,递延所得税负债(元),1,递延得税负债(万元) balance
deposit_in_interbank,吸收存款及同业存放,balance,吸收存款是负债类科目，它核算企业（银行）吸收的除了同业存放款项以外的其他各种存款，即：收到的除金融机构以外的企业或者个人、组织的存款，包括单位存款（企业、事业单位、机关、社会团体等）、个人存款、信用卡存款、特种存款、转贷款资金和财政性存款等。同业存放，也称同业存款，全称是同业及其金融机构存入款项，是指因支付清算和业务合作等的需要，由其他金融机构存放于商业银行的款项。,,吸收存款及同业存放(元),1,吸收存款及同业存放(万元) balance
derivative_assets,衍生金融资产,balance,,,衍生金融资产(万元),1,衍生金融资产(万元) balance
derivative_liability,衍生金融负债,balance,,,衍生金融负债(万元),1,衍生金融负债(万元) balance
development_expenditure,开发支出,balance,开发支出项目是反映企业开发无形资产过程中能够资本化形成无形资产成本的支出部分。开发支出项目应当根据”研发支出”科目中所属的”资本化支出”明细科目期末余额填列。,,开发支出(元),1,开发支出(万元) balance
dividend_payable,应付股利,balance,应付股利是指企业根据年度利润分配方案，确定分配的股利。是企业经董事会或股东大会，或类似机构决议确定分配的现金股利或利润。企业分配的股票股利，不通过“应付股利”科目核算。确定时借记“未分配利润”帐户，贷记“应付股利”帐户；实际支付时借记“应付股利”帐户，贷记“银行存款”帐户。,,应付股利(元),1,应付股利(万元) balance
dividend_receivable,应收股利,balance,应收股利是指企业因股权投资而应收取的现金股利以及应收其他单位的利润，包括企业购入股票实际支付的款项中所包括的已宣告发放但尚未领取的现金股利和企业因对外投资应分得的现金股利或利润等，但不包括应收的股票股利。,,应收股利(元),1,应收股利(万元) balance
domestic_ticket_settlement,国内票证结算,balance,,,国内票证结算(万元),1,国内票证结算(万元) balance
equities_parent_company_owners,归属于母公司股东权益合计,balance,母公司股东权益反映的是母公司所持股份部分的所有者权益数，所有者权益合计是反映的是所有的股东包括母公司与少数股东一起100%的股东所持股份的总体所有者权益合计数。即所有者权益合计＝母公司股东权益合计母＋少数股东权益合计。,,归属于母公司股东权益合计(元),1,归属于母公司股东权益合计(万元) balance
equities_parent_company_owners,股东权益不含少数股东权益,balance,,,股东权益不含少数股东权益(万元),1,股东权益不含少数股东权益(万元) indicator
equity_separation_circulation_right ,股权分置流通权,balance,无论是权证方式还是非权证方式，非流通股股东都需要设置“股权分置流通权”这一全新的会计科目，用以核算以各种方式支付对价取得的在证券交易所挂牌交易的流通权的价值。,,股权分置流通权(万元),1,股权分置流通权(万元) balance
estimate_current_liability,预计流动负债,balance,,,预计流动负债(万元),1,预计流动负债(万元) balance
estimate_liability,预计负债,balance,预计负债是因或有事项可能产生的负债。根据或有事项准则的规定，与或有事项相关的义务同时符合以下三个条件的，企业应将其确认为负债：一是该义务是企业承担的现时义务；二是该义务的履行很可能导致经济利益流出企业，这里的“很可能”指发生的可能性为“大于50%，但小于或等于95%”；三是该义务的金额能够可靠地计量。,,预计负债(元),1, 预计负债(万元) cash_flow
estimate_non_current_liability,预计非流动负债,balance,,,预计非流动负债(万元),1,预计非流动负债(万元) balance
fixed_assets,固定资产,balance,固定资产是指企业为生产商品、提供劳务、出租或经营管理而持有的、使用寿命超过一个会计年度的有形资产。属于产品生产过程中用来改变或者影响劳动对象的劳动资料，是固定资本的实物形态。固定资产在生产过程中可以长期发挥作用，长期保持原有的实物形态，但其价值则随着企业生产经营活动而逐渐地转移到产品成本中去，并构成产品价值的一个组成部分。,,固定资产(元),1,固定资产(万元) balance
fixed_assets_liquidation,固定资产清理,balance,固定资产清理是指企业因出售、报废和毁损等原因转入清理的固定资产价值及其在清理过程中所发生的清理费用和清理收入等。,,固定资产清理(元),1,固定资产清理(万元) balance
foreign_currency_report_conv_diff,外币报表折算差额,balance,是指在编制合并财务报表时，把国外子公司或分支机构以所在国家货币编制的财务报表折算成以记账本位币表达的财务报表时，由于报表项目采用不同汇率折算而形成的汇兑损益。,,外币报表折算差额(元),1,外币报表折算差额(万元) balance
good_will,商誉,balance,商誉是指能在未来期间为企业经营带来超额利润的潜在经济价值，或一家企业预期的获利能力超过可辨认资产正常获利能力（如社会平均投资回报率）的资本化价值。商誉是企业整体价值的组成部分。在企业合并时，它是购买企业投资成本超过被并企业净资产公允价值的差额。,,商誉(元),1,商誉(万元) balance
hold_for_sale_assets,可供出售金融资产,balance,可供出售金融资产指初始确认时即被指定为可供出售的非衍生金融资产，以及下列各类资产之外的非衍生金融资产：（一）贷款和应收款项；（二）持有至到期投资；（三）交易性金融资产。,,可供出售金融资产(元),1,可供出售金融资产(万元) balance
hold_to_maturity_investments,持有至到期投资,balance,持有至到期投资指企业有明确意图并有能力持有至到期，到期日固定、回收金额固定或可确定的非衍生金融资产。以下非衍生金融资产不应划分为持有至到期投资：（一）初始确认时划分为交易性非衍生金融资产；（二）初始确认时被指定为可供出售非衍生金融资产；（三）符合贷款和应收款项定义的非衍生金融资产。,,持有至到期投资(元),1,持有至到期投资(万元) balance
insurance_contract_reserves,保险合同准备金,balance,险准备金是指保险人为保证其如约履行保险赔偿或给付义务，根据政府有关法律规定或业务特定需要，从保费收入或盈余中提取的与其所承担的保险责任相对应的一定数量的基金。,,保险合同准备金(元),1,保险合同准备金(万元) balance
insurance_receivable,应收保费,balance,保险公司按照合同约定应向投保人收取但尚未收到的保费收入。,,应收保费(元),1,应收保费(万元) balance
intangible_assets,无形资产,balance,无形资产是指企业拥有或者控制的没有实物形态的可辨认非货币性资产。资产满足下列条件之一的，符合无形资产定义中的可辨认性标准：　1、能够从企业中分离或者划分出来，并能够单独或者与相关合同、资产或负债一起，用于出售、转移、授予许可、租赁或者交换。　2、源自合同性权利或其他法定权利，无论这些权利是否可以从企业或其他权利和义务中转移或者分离。无形资产主要包括专利权、非专利技术、商标权、著作权、土地使用权、特许权等。商誉的存在无法与企业自身分离，不具有可辨认性，不属于本章所指无形资产。,,无形资产(元),1,无形资产(万元) balance
interest_payable,应付利息,balance,"应付利息是指金融企业根据存款或债券金额及其存续期限和规定的利率，按期计提应支付给单位和个人的利息。应付利息应按已计但尚未支付的金额入账。应付利息包括分期付息到期还本的长期借款、企业债券等应支付的利息。应付利息与应计利息的区别：应付利息属于借款,应计利息属于企业存款。",,应付利息(元),1,应付利息(万元) balance
interest_receivable,应收利息,balance,应收利息是指：短期债券投资实际支付的价款中包含的已到付息期但尚未领取的债券利息。这部分应收利息不计入短期债券投资初始投资成本中。但实际支付的价款中包含尚未到期的债券利息，则计入短期债券投资初始投资成本中（不需要单独核算）。,,应收利息(元),1,应收利息(万元) balance
internal_payable,内部应付款,balance,,,内部应付款(万元),1,内部应付款(万元) balance
internal_receivable,内部应收款,balance,,,内部应收款(万元),1,内部应收款(万元) balance
international_ticket_settlement,国际票证结算,balance,,,国际票证结算(万元),1,国际票证结算(万元) balance
inventories,存货,balance,是指企业在日常活动中持有的以备出售的产成品或商品、处在生产过程中的在产品、在生产过程或提供劳务过程中耗用的材料和物料等。,,存货(元),1,存货(万元) balance
investment_loss_unaffirmed,未确定的投资损失,balance,,,未确定的投资损失(万元),1,未确定投资损失(万元) balance
investment_property,投资性房地产,balance,投资性房地产是指为赚取租金或资本增值，或两者兼有而持有的房地产。投资性房地产应当能够单独计量和出售。,,投资性房地产(元),1,投资性房地产(万元) balance
lend_capital,拆出资金,balance,企业（金融）拆借给境内、境外其他金融机构的款项。,,拆出资金(元),1,拆出资金(万元) balance
loan_and_advance,发放贷款及垫款,balance,,,发放贷款及垫款(万元),1,发放贷款及垫款(万元) balance
loan_and_advance,发放委托贷款及垫款,balance,委托贷款是指由委托人提供合法来源的资金转入委托银行一般委存账户，委托银行根据委托人确定的贷款对象、用途、金额、期限、利率等代为发放、监督使用并协助收回的贷款业务。垫款是指银行在客户无力支付到期款项的情况下，被迫以自有资金代为支付的行为。,,发放委托贷款及垫款(元),0,
long_deferred_expense,长期待摊费用,balance,长期待摊费用是指企业已经支出，但摊销期限在1年以上(不含1年)的各项费用，包括开办费、租入固定资产的改良支出及摊销期在1年以上的固定资产大修理支出、股票发行费用等。应由本期负担的借款利息、租金等，不得作为长期待摊费用。,,长期待摊费用(元),2,长期待摊费用(万元) balance  长期待摊费用摊销(万元) cash_flow
long_deferred_expense_amortization,长期待摊费用摊销,cash_flow,长期待摊费用摊销(万元),,,,
longterm_account_payable,长期应付款,balance,长期应付款是指企业除了长期借款和应付债券以外的长期负债，包括应付引进设备款、应付融资租入固定资产的租赁费等。,,长期应付款(元),1,长期应付款(万元) balance
longterm_deferred_income,长期递延收益,balance,,,长期递延收益(万元),1,长期递延收益(万元) balance
longterm_equity_invest,长期股权投资,balance,长期股权投资是指企业持有的对其子公司、合营企业及联营企业的权益性投资以及企业持有的对被投资单位不具有控制、共同控制或重大影响，且在活跃市场中没有报价、公允价值不能可靠计量的权益性投资。,,长期股权投资(元),1,长期股权投资(万元) balance
longterm_loan,长期借款,balance,长期借款是指企业从银行或其他金融机构借入的期限在一年以上(不含一年)的借款。我国股份制企业的长期借款主要是向金融机构借人的各项长期性借款，如从各专业银行、商业银行取得的贷款；除此之外，还包括向财务公司、投资公司等金融企业借人的款项。,,长期借款(元),1,长期借款(万元) balance
longterm_receivable_account,长期应收款,balance,长期应收款是根据长期应收款的账户余额减去未确认融资收益还有一年内到期的长期应收款。,,长期应收款(元),1,长期应收款(万元) balance
margin_payable,应付保证金,balance,,,应付保证金(万元),1,应付保证金(万元) balance
margin_receivable,应收保证金,balance,,,应收保证金(万元),1,应收保证金(万元) balance
minority_interests,少数股东权益,balance,"少数股东权益简称少数股权,是反映除母公司以外的其他投资者在子公司中的权益，表示其他投资者在子公司所有者权益中所拥有的份额。在控股合并形式下，子公司股东权益中未被母公司持有部分。在母公司拥有子公司股份不足100%，即只拥有子公司净资产的部分产权时，子公司股东权益的一部分属于母公司所有，即多数股权，其余部分仍属外界其他股东所有，由于后者在子公司全部股权中不足半数，对子公司没有控制能力，故被称为少数股权。",,少数股东权益(元),1,少数股东权益(万元) balance
non_current_asset_in_one_year,一年内到期的非流动资产,balance,一年内到期的非流动资产反映企业将于一年内到期的非流动资产项目金额。包括一年内到期的持有至到期投资、长期待摊费用和一年内可收回的长期应收款。应根据有关科目的期末余额填列。执行企业会计制度的企业根据“一年内到期的长期债权投资”等科目填列。,,一年内到期的非流动资产(元),1,一年内到期非流动资产(万元) balance
non_current_liability_in_one_year,一年内到期的非流动负债,balance,是反映企业各种非流动负债在一年之内到期的金额，包括一年内到期的长期借款、长期应付款和应付债券。本项目应根据上述账户分析计算后填列。计入(收录)流动负债中。,,一年内到期的非流动负债(元),1,一年内到期非流动负债(万元) balance
non_profit_living_assets,公益性生物资产,balance,公益性生物资产，是指以防护、环境保护为主要目的的生物资产，包括防风固沙林、水土保持林和水源涵养林等。,,公益性生物资产(万元),1,公益性生物资产(万元) balance
notes_payable,应付票据,balance,应付票据是指企业购买材料、商品和接受劳务供应等而开出、承兑的商业汇票，包括商业承兑汇票和银行承兑汇票。在我国应收票据、应付票据仅指“商业汇票”，包括“银行承兑汇票”和“商业承兑汇票”两种，属于远期票据，付款期一般在1个月以上，6个月以内。其他的银行票据（支票、本票、汇票）等，都是作为货币资金来核算的，而不作为应收应付票据。,,应付票据(元),1,应付票据(万元) balance
oil_gas_assets,油气资产,balance,重要资产，其价值在总资产中占有较大比重。油气资产是指油气开采企业所拥有或控制的井及相关设施和矿区权益。油气资产属于递耗资产。递耗资产是通过开掘、采伐、利用而逐渐耗竭，以致无法恢复或难以恢复、更新或按原样重置的自然资源，如矿藏、原始森林等。油气资产是油气生产企业的重要资产，其价值在总资产中占有较大比重。,,油气资产(元),1,油气资产(万元) balance
ordinary_risk_reserve_fund,一般风险准备,balance,指从事证券业务的金融企业按规定从 净利润中提取，用于弥补亏损的 风险准备。,,一般风险准备(元),1,一般风险准备(万元) balance
other_current_assets,其他流动资产,balance,流动资产合计指在一年内或者超过一年的一个营业周期内变现或者耗用的资产，包括货币资金、短期投资、应收票据、应收账款、坏账准备、应收账款净额、预付账款、其他应收款、存货、待转其他业务支出、待摊费用、待处理流动资产净损失、一年内到期的长期债券投资、其他流动资产等项。,,其他流动资产(元),1,其他流动资产(万元) balance
other_current_liability,其他流动负债,balance,其他流动负债是指不能归属于短期借款，应付短期债券券，应付票据，应付帐款，应付所得税，其他应付款，预收账款这七款项目的流动负债。但以上各款流动负债，其金额未超过流动负债合计金额百分之五者，得并入其他流动负债内。,,其他流动负债(元),1,其他流动负债(万元) balance
other_longterm_invest,其他长期投资,balance,,,其他长期投资(万元),1,其他长期投资(万元) balance
other_non_current_assets,其他非流动资产,balance,贷款是指贷款人(我国的商业银行等金融机构)对借款人提供的并按约定的利率和期限还本付息的货币资金。贷款币可以是人民币，也可以是外币。,,其他非流动资产(元),1,其他非流动资产(万元) balance
other_non_current_liability,其他非流动负债,balance,其他非流动负债项目是反映企业除长期借款、应付债券等项目以外的其他非流动负债。其他非流动负债项目应根据有关科目的期末余额填列。其他非流动负债项目应根据有关科目期末余额减去将于一年内(含一年)到期偿还数后的余额填列。非流动负债各项目中将于一年内(含一年)到期的非流动负债，应在”一年内到期的非流动负债”项目内单独反映。,,其他非流动负债(元),1,其他非流动负债(万元) balance
other_payable,其他应付款,balance,其他应付款是财务会计中的一个往来科目，通常情况下，该科目只核算企业应付其他单位或个人的零星款项，如应付经营租入固定资产和包装物的租金、存入保证金、应付统筹退休金等。,,其他应付款(元),1,其他应付款(万元) balance
other_receivable,其他应收款,balance,其他应收款是企业应收款项的另一重要组成部分。是企业除应收票据、应收账款和预付账款以外的各种应收暂付款项。其他应收款通常包括暂付款，是指企业在商品交易业务以外发生的各种应收、暂付款项。,,其他应收款(元),1,其他应收款(万元) balance
other_tax_payable,其他应交款,balance,,,其他应交款(万元),1,其他应交款(万元) balance
paidin_capital,实收资本(或股本),balance,流动资产合计指在一年内或者超过一年的一个营业周期内变现或者耗用的资产，包括货币资金、短期投资、应收票据、应收账款、坏账准备、应收账款净额、预付账款、其他应收款、存货、待转其他业务支出、待摊费用、待处理流动资产净损失、一年内到期的长期债券投资、其他流动资产等项。,,实收资本(或股本)(元),1,实收资本(或股本)(万元) balance
prepiad_expenses,待摊费用,balance,,,待摊费用(万元),1,待摊费用(万元) balance
proxy_secu_proceeds,代理买卖证券款,balance,代理买卖证券款是指公司接受客户委托，代理客户买卖股票、债券和基金等有价证券而收到的款项，包括公司代理客户认购新股的款项、代理客户领取的现金股利和债券利息，代客户向证券交易所支付的配股款等。,,代理买卖证券款(元),1,代理买卖证券款(万元) balance
receivings_from_vicariously_sold_securities,代理承销证券款,balance,代理承销证券款是指公司接受委托，采用承购包销方式或代销方式承销证券所形成的、应付证券发行人的承销资金。,,代理承销证券款(元),1,代理承销证券款(万元) balance
reinsurance_contract_reserves_receivable,应收分保合同准备金,balance,是用于核算企业（再保险分出人）从事再保险业务确认的应收分保未到期责任准备金，以及应向再保险接受人摊回的保险责任准备金。,,应收分保合同准备金(元),1,应收分保合同准备金(万元) balance
reinsurance_payable,应付分保账款,balance,应付分保账款表示债务，这样一来，债权、债务关系更加一目了然。另外，财产保险公司应收分保账款是指本公司与其他保险公司之间开展分保业务发生的各种应收款项。,,应付分保账款(元),1,应付分保账款(万元) balance
reinsurance_receivables,应收分保账款,balance,指公司开展分保业务而发生的各种应收款项。,,应收分保账款(元),1,应收分保账款(万元) balance
retained_profit,未分配利润,balance,未分配利润是企业未作分配的利润。它在以后年度可继续进行分配，在未进行分配之前，属于所有者权益的组成部分。,,未分配利润(元),1,未分配利润(万元) balance
salaries_payable,应付职工薪酬,balance,应付职工薪酬是指企业为获得职工提供的服务而给予各种形式的报酬以及其他相关支出。职工薪酬包括：职工工资、奖金、津贴和补贴；职工福利费；医疗保险费、养老保险费、失业保险费、工伤保险费和生育保险费等社会保险费；住房公积金；工会经费和职工教育经费；非货币性福利；因解除与职工的劳动关系给予的补偿；其他与获得职工提供的服务相关的支出。原“应付工资”和“应付福利费”取消，换成“应付职工薪酬”。,,应付职工薪酬(元),1,应付职工薪酬(万元) balance
settlement_provi,结算备付金,balance,结算备付金是指结算参与人根据规定，存放在其资金交收账户中用于证券交易及非交易结算的资金。资金交收账户即结算备付金账户。,,结算备付金(元),1,结算备付金(万元) balance
shortterm_bond_payable,应付短期债券,balance,,,应付短期债券(万元),1,应付短期债券(万元) balance
shortterm_loan,短期借款,balance,短期借款企业用来维持正常的生产经营所需的资金或为抵偿某项债务而向银行或其他金融机构等外单位借入的、还款期限在一年以下或者一年的一个经营周期内的各种借款。,,短期借款(元),1,短期借款(万元) balance
sold_buyback_secu_proceeds,卖出回购金融资产款,balance,卖出回购金融资产款是用于核算企业（金融）按回购协议卖出票据、证券、贷款等金融资产所融入的资金。,,卖出回购金融资产款(元),1,卖出回购金融资产款(万元) balance
specific_account_payable,专项应付款,balance,专项应付款是企业接受国家拨入的具有专门用途的款项所形成的不需要以资产或增加其他负债偿还的负债。专项应付款指企业接受国家拨入的具有专门用途的拨款，如新产品试制费拨款、中间试验费拨款和重要科学研究补助费拨款等科技三项拨款等。,,专项应付款(元),1,专项应付款(万元) balance
specific_reserves,专项储备,balance,专项储备用于核算高危行业企业按照规定提取的安全生产费以及维持简单再生产费用等具有类似性质的费用。,,专项储备(元),1,专项储备(万元) balance
subsidy_receivable,应收补贴款,balance,,,应收补贴款(万元),1,应收补贴款(万元) balance
surplus_reserve_fund,盈余公积,balance,盈余公积是指企业按照规定从净利润中提取的各种积累资金。,,盈余公积金(元),1,盈余公积(万元) balance
tax_rebate_receiveable,应收出口退税,balance,,,应收出口退税(万元),1,应收出口退税(万元) balance
taxs_payable,应交税费,balance,应交税费是指企业根据在一定时期内取得的营业收入、实现的利润等，按照现行税法规定，采用一定的计税方法计提的应交纳的各种税费。应交税费包括企业依法交纳的增值税、消费税、营业税、所得税、资源税、土地增值税、城市维护建设税、房产税、土地使用税、车船税、教育费附加、矿产资源补偿费等税费，以及在上缴国家之前，由企业代收代缴的个人所得税等。,,应交税费(元),1,应交税费(万元) balance
total_assets,资产总计,balance,资产总计是指企业拥有或可控制的能以货币计量的经济资源，包括各种财产、债权和其他权利。企业的资产按其流动性划分为：流动资产、长期投资、固定资产、无形资产及递延资产、其他资产等，即为企业资产负债表的资产总计项。所谓流动性是指企业资产的变现能力和支付能力。该指标根据会计“资产负债表”中“资产总计”项的年末数填列。资产总计=流动资产+长期投资+固定资产+无形及递延资产+其他资产。,,资产总计(元),1,资产总计(万元) balance
total_assets,总资产,balance,,,总资产(万元),1,总资产(万元) indicator
total_current_assets,流动资产,balance,指在一年内或者超过一年的一个营业周期内变现或者耗用的资产，包括货币资金、短期投资、应收票据、应收账款、坏账准备、应收账款净额、预付账款、其他应收款、存货、待转其他业务支出、待摊费用、待处理流动资产净损失、一年内到期的长期债券投资、其他流动资产等项。,,流动资产合计(元),2,流动资产(万元) indicator 流动资产合计(万元) balance
total_current_liability,流动负债,balance,流动负债合计是指企业在一年内或超过一年的一个营业周期内需要偿还的债务，包括短期借款、应付帐款、其他应付款、应付工资、应付福利费、未交税金和未付利润、其他应付款、预提费用等。,,流动负债合计(元),2,流动负债(万元) indicator 流动负债合计(万元) balance
total_liability,负债合,balance,负债合计是指企业所承担的能以，将以资产或劳务偿还的债务，偿还形式包括货币、资产或提供劳务。,,负债合计(元),1,负债合计(万元) balance
total_liability,总负债,balance,,,总负债(万元),1,总负债(万元) indicator
total_non_current_assets,非流动资产合计,balance,公式：非流动资产合计=所有的非流动资产项目之和—一年内到期的非流动资产=固定资产—累计折旧—固定资产减值准备—一年内到期的非流动资产。,,非流动资产合计(元),1,非流动资产合计(万元) balance
total_non_current_liability,非流动负债合计,balance,流动负债合计是指企业在一年内或超过一年的一个营业周期内需要偿还的债务，包括短期借款、应付帐款、其他应付款、应付工资、应付福利费、未交税金和未付利润、其他应付款、预提费用等。,,非流动负债合计(元),1,非流动负债合计(万元) balance
total_owner_equities,股东权益,balance,指股本、资本公积、盈余公积、未分配利润的之和，代表了股东对企业的所有权，反映了股东在企业资产中享有的经济利益。,,股东权益合计(元),1,股东权益(或股东权益)合计(万元) balance
total_sheet_owner_equities,负债和所有者权益,balance,负债和股东权益总计是等于负债总额加上股东权益总额，也等于资产总额。,,负债和股东权益合计,1,负债和股东权益(或股东权益)总计(万元) balance
